id,age,gender,sign
162,57,male,sagittarius
163,60,male,leo
164,32,nb,cancer
165,32,female,sagittarius
166,28,female,cancer
167,28,male,libra
168,21,male,capricorn
169,21,nb,cancer
170,43,female,taurus
171,44,male,pisces
172,27,male,aries
173,28,male,scorpio
174,37,male,cancer
175,33,female,virgo
176,53,female,sagittarius
177,50,male,scorpio
178,53,female,cancer
179,56,male,pisces
180,40,female,scorpio
181,38,female,virgo
182,46,female,aries
183,46,female,scorpio
184,33,nb,aries
185,35,male,virgo
186,44,female,aquarius
187,43,female,sagittarius
188,24,male,scorpio
189,22,male,libra
190,43,female,leo
191,42,male,leo
192,41,female,taurus
193,43,male,cancer
194,57,female,virgo
195,57,female,capricorn
196,33,female,pisces
197,33,female,capricorn
198,46,nb,scorpio
199,45,male,leo
200,38,female,pisces
201,36,male,aquarius
202,28,male,taurus
203,29,female,virgo
204,39,male,gemini
205,39,female,sagittarius
206,56,male,scorpio
207,57,male,scorpio
208,26,male,sagittarius
209,26,male,pisces
210,21,male,aquarius
211,21,female,gemini
212,55,female,sagittarius
213,51,male,pisces
214,48,nb,aquarius
215,47,male,capricorn
216,26,male,pisces
217,25,male,aries
218,55,female,capricorn
219,54,male,taurus
220,36,female,aquarius
221,38,male,cancer
222,22,female,aquarius
223,23,female,aries
224,39,nb,taurus
225,39,male,pisces
226,18,female,cancer
227,18,female,aquarius
228,21,male,pisces
229,22,male,sagittarius
230,23,female,sagittarius
231,23,nb,sagittarius
232,39,male,sagittarius
233,38,male,libra
234,58,male,libra
235,57,female,aries
236,32,male,sagittarius
237,34,female,sagittarius
238,58,female,gemini
239,58,male,cancer
240,42,male,gemini
241,43,female,aquarius
242,59,nb,leo
243,61,female,scorpio
244,40,female,sagittarius
245,40,female,capricorn
246,57,male,virgo
247,55,male,taurus
248,50,female,pisces
249,52,male,scorpio
250,30,male,sagittarius
251,34,female,aries
252,40,male,taurus
253,38,female,leo
254,45,male,aquarius
255,45,female,pisces
256,25,nb,sagittarius
257,25,male,pisces
258,54,female,leo
259,54,female,gemini
260,38,female,aquarius
261,36,female,sagittarius
262,33,male,pisces
263,33,female,libra
264,19,male,aquarius
265,19,nb,pisces
266,38,male,cancer
267,39,female,leo
268,53,female,cancer
269,53,nb,aries
270,25,female,aries
271,25,male,aquarius
272,50,female,aries
273,49,female,sagittarius
274,32,female,sagittarius
275,32,female,taurus
276,27,female,capricorn
277,28,male,taurus
278,18,male,scorpio
279,19,female,taurus
280,46,female,sagittarius
281,46,male,pisces
282,40,male,taurus
283,37,male,leo
284,29,male,aries
285,27,female,scorpio
286,32,male,cancer
287,32,female,taurus
288,42,female,gemini
289,42,female,sagittarius
290,21,male,pisces
291,21,female,aries
292,58,male,virgo
293,57,male,leo
294,43,female,cancer
295,44,female,sagittarius
296,58,nb,virgo
297,58,female,taurus
298,35,female,aquarius
299,34,female,libra
300,21,male,libra
301,25,male,scorpio
302,58,female,aries
303,58,female,libra
304,23,nb,leo
305,24,female,aquarius
306,53,female,gemini
307,54,female,aquarius
308,48,male,pisces
309,46,female,capricorn
310,27,female,virgo
311,29,male,gemini
312,40,male,pisces
313,41,female,leo
314,56,male,aquarius
315,55,female,taurus
316,56,male,sagittarius
317,58,female,leo
318,53,male,scorpio
319,54,male,scorpio
320,26,female,scorpio
321,29,male,capricorn
322,29,male,aries
323,29,male,leo
324,35,male,cancer
325,34,male,scorpio
326,37,female,leo
327,35,female,cancer
328,28,male,capricorn
329,26,female,sagittarius
330,55,female,aquarius
331,56,male,leo
332,42,female,virgo
333,43,female,aries
334,54,male,cancer
335,54,male,leo
336,22,male,virgo
337,21,female,cancer
338,26,female,gemini
339,28,male,libra
340,42,male,aries
341,43,male,leo
342,48,male,gemini
343,50,male,taurus
344,47,male,leo
345,47,nb,leo
346,52,female,leo
347,53,male,capricorn
348,56,female,leo
349,56,nb,capricorn
350,55,nb,capricorn
351,57,female,aquarius
352,21,nb,cancer
353,20,nb,capricorn
354,19,female,capricorn
355,20,female,aquarius
356,30,nb,aries
357,30,male,leo
358,43,female,scorpio
359,43,male,gemini
360,52,male,gemini
361,54,male,gemini
362,36,female,virgo
363,36,female,taurus
364,52,female,aries
365,52,female,aries
366,29,female,leo
367,29,female,aquarius
368,36,male,virgo
369,36,female,capricorn
370,36,male,taurus
371,36,female,aries
372,49,nb,scorpio
373,46,male,cancer
374,40,female,cancer
375,41,male,virgo
376,25,male,virgo
377,26,female,leo
378,38,female,cancer
379,41,female,taurus
380,41,nb,capricorn
381,40,female,leo
382,38,male,cancer
383,38,male,aquarius
384,34,male,gemini
385,37,male,scorpio
386,36,female,aries
387,40,female,pisces
388,19,female,leo
389,21,male,virgo
390,39,male,sagittarius
391,39,nb,capricorn
392,18,female,libra
393,18,male,cancer
394,32,male,capricorn
395,32,male,capricorn
396,20,nb,cancer
397,20,male,virgo
398,24,male,capricorn
399,21,male,sagittarius
400,51,female,gemini
401,52,male,scorpio
402,53,male,aries
403,52,male,cancer
404,24,female,cancer
405,23,male,sagittarius
406,35,male,virgo
407,36,female,scorpio
408,46,male,virgo
409,43,male,virgo
410,24,male,aries
411,25,male,taurus
412,27,female,scorpio
413,28,female,taurus
414,28,female,aries
415,28,male,leo
416,57,male,pisces
417,55,male,taurus
418,36,male,cancer
419,36,female,libra
420,34,female,cancer
421,34,female,aquarius
422,21,female,taurus
423,21,male,scorpio
424,32,male,sagittarius
425,30,male,aries
426,49,male,pisces
427,48,female,cancer
428,34,male,sagittarius
429,35,female,cancer
430,29,male,libra
431,30,female,gemini
432,27,male,scorpio
433,25,female,libra
434,48,male,sagittarius
435,48,male,libra
436,35,female,aquarius
437,34,female,leo
438,46,male,capricorn
439,46,male,leo
440,53,male,sagittarius
441,52,male,taurus
442,21,female,libra
443,18,female,aquarius
444,36,male,leo
445,36,male,scorpio
446,43,female,libra
447,44,male,virgo
448,47,female,scorpio
449,47,male,aquarius
450,20,male,capricorn
451,19,male,aquarius
452,41,male,pisces
453,40,male,aries
454,57,male,aquarius
455,58,female,pisces
456,36,female,sagittarius
457,36,female,capricorn
458,40,male,pisces
459,40,male,cancer
460,38,female,leo
461,42,male,taurus
462,18,male,libra
463,18,nb,leo
464,48,female,cancer
465,48,male,pisces
466,45,female,gemini
467,42,male,capricorn
468,50,female,scorpio
469,51,female,gemini
470,24,female,sagittarius
471,24,male,cancer
472,53,male,scorpio
473,54,male,aquarius
474,27,male,leo
475,26,nb,gemini
476,47,male,cancer
477,44,female,taurus
478,35,male,scorpio
479,35,male,taurus
480,58,female,aquarius
481,59,female,cancer
482,53,male,leo
483,54,female,aquarius
484,21,female,leo
485,21,male,aquarius
486,26,female,libra
487,26,male,libra
488,37,female,pisces
489,39,male,capricorn
490,43,female,leo
491,44,male,sagittarius
492,38,male,libra
493,37,male,leo
494,27,male,capricorn
495,27,male,cancer
496,26,female,gemini
497,26,male,sagittarius
498,42,male,taurus
499,42,female,scorpio
500,47,female,aries
501,48,female,pisces
502,58,nb,aries
503,57,male,taurus
504,23,nb,aries
505,23,female,scorpio
506,21,male,cancer
507,21,male,gemini
508,59,male,cancer
509,59,male,cancer
510,23,male,cancer
511,23,male,virgo
512,25,male,virgo
513,23,male,taurus
514,52,male,aquarius
515,52,female,taurus
516,36,female,taurus
517,32,male,cancer
518,25,female,leo
519,25,female,pisces
520,57,nb,scorpio
521,58,male,taurus
522,42,male,cancer
523,42,male,cancer
524,32,male,libra
525,31,nb,sagittarius
526,44,male,pisces
527,48,female,gemini
528,55,male,aries
529,55,female,aries
530,23,male,virgo
531,23,female,aries
532,52,female,libra
533,52,male,taurus
534,41,nb,aries
535,40,male,sagittarius
536,45,female,capricorn
537,44,male,sagittarius
538,20,male,aries
539,19,male,gemini
540,48,male,gemini
541,44,male,aquarius
542,35,female,libra
543,38,nb,capricorn
544,31,female,sagittarius
545,31,female,scorpio
546,45,male,sagittarius
547,49,nb,sagittarius
548,40,female,libra
549,41,male,pisces
550,51,female,capricorn
551,49,male,cancer
552,53,male,libra
553,51,male,libra
554,57,female,aquarius
555,57,female,gemini
556,20,nb,scorpio
557,20,male,leo
558,50,female,virgo
559,48,male,cancer
560,56,male,virgo
561,54,female,gemini
562,21,male,libra
563,20,male,capricorn
564,53,male,cancer
565,51,female,pisces
566,47,male,cancer
567,47,female,sagittarius
568,42,male,aquarius
569,42,female,capricorn
570,28,male,aquarius
571,29,female,taurus
572,38,female,sagittarius
573,40,male,sagittarius
574,28,female,scorpio
575,30,male,leo
576,35,male,sagittarius
577,35,male,aquarius
578,55,male,gemini
579,53,male,capricorn
580,41,male,sagittarius
581,42,female,capricorn
582,53,male,sagittarius
583,55,male,gemini
584,55,male,libra
585,53,female,virgo
586,24,nb,leo
587,25,female,aries
588,21,nb,cancer
589,21,female,pisces
590,18,female,pisces
591,18,female,aquarius
592,24,male,aries
593,25,male,libra
594,56,male,capricorn
595,54,male,sagittarius
596,18,female,sagittarius
597,18,male,cancer
598,43,male,sagittarius
599,43,female,virgo
600,45,nb,pisces
601,46,male,pisces
602,59,female,virgo
603,56,male,capricorn
604,39,female,virgo
605,42,male,pisces
606,37,nb,scorpio
607,37,female,aquarius
608,27,female,leo
609,28,male,scorpio
610,48,male,pisces
611,49,male,sagittarius
612,22,female,gemini
613,22,male,aries
614,55,male,libra
615,53,male,cancer
616,33,female,taurus
617,36,female,taurus
618,28,male,pisces
619,28,female,virgo
620,31,male,sagittarius
621,32,female,aries
622,58,female,taurus
623,57,male,sagittarius
624,26,male,aquarius
625,26,nb,aries
626,18,female,virgo
627,18,male,sagittarius
628,39,nb,taurus
629,39,female,cancer
630,49,male,taurus
631,50,nb,sagittarius
632,41,female,sagittarius
633,41,female,aries
634,58,female,taurus
635,57,nb,aries
636,47,female,gemini
637,47,nb,taurus
638,41,nb,virgo
639,42,male,cancer
640,21,female,gemini
641,21,male,sagittarius
642,53,female,cancer
643,51,female,cancer
644,37,male,gemini
645,35,female,scorpio
646,39,female,libra
647,39,male,gemini
648,53,female,pisces
649,54,male,virgo
650,44,female,libra
651,43,female,sagittarius
652,26,male,capricorn
653,27,male,taurus
654,41,nb,scorpio
655,41,male,aries
656,33,female,gemini
657,36,female,scorpio
658,20,nb,aries
659,18,female,libra
660,53,male,virgo
661,53,nb,cancer
662,49,nb,aquarius
663,50,male,capricorn
664,25,male,pisces
665,25,nb,gemini
666,50,male,gemini
667,47,female,gemini
668,25,female,virgo
669,27,male,cancer
670,44,male,aquarius
671,44,female,aries
672,18,female,leo
673,18,female,scorpio
674,34,female,pisces
675,32,female,scorpio
676,36,female,cancer
677,37,male,capricorn
678,34,nb,leo
679,35,nb,aquarius
680,44,nb,cancer
681,43,female,aquarius
682,40,male,capricorn
683,42,female,pisces
684,45,male,capricorn
685,45,male,aquarius
686,23,male,taurus
687,24,male,virgo
688,32,female,pisces
689,32,male,gemini
690,52,female,virgo
691,53,male,libra
692,26,female,capricorn
693,27,nb,cancer
694,50,male,cancer
695,50,male,taurus
696,18,male,pisces
697,21,nb,aquarius
698,41,female,leo
699,41,female,pisces
700,21,male,taurus
701,20,male,capricorn
702,34,male,taurus
703,32,male,scorpio
704,45,female,capricorn
705,46,male,libra
706,31,male,aries
707,30,male,aries
708,31,male,capricorn
709,32,female,capricorn
710,53,male,virgo
711,51,female,sagittarius
712,25,female,aries
713,24,female,sagittarius
714,26,male,capricorn
715,24,male,sagittarius
716,47,male,gemini
717,46,male,scorpio
718,40,male,scorpio
719,40,male,cancer
720,54,male,aries
721,54,male,scorpio
722,58,male,gemini
723,56,nb,scorpio
724,46,male,pisces
725,42,female,capricorn
726,52,male,scorpio
727,55,female,capricorn
728,30,female,sagittarius
729,31,female,pisces
730,28,male,aries
731,28,female,gemini
732,42,female,capricorn
733,40,male,gemini
734,25,nb,taurus
735,24,male,scorpio
736,21,male,scorpio
737,20,male,virgo
738,32,female,libra
739,32,male,virgo
740,20,female,libra
741,20,male,libra
742,51,female,libra
743,52,male,capricorn
744,39,female,taurus
745,39,male,leo
746,34,female,cancer
747,32,nb,scorpio
748,28,female,cancer
749,28,female,scorpio
750,37,male,taurus
751,37,female,aries
752,22,female,gemini
753,22,male,libra
754,25,male,pisces
755,25,male,virgo
756,59,nb,gemini
757,56,male,aquarius
758,58,female,gemini
759,57,female,capricorn
760,21,male,capricorn
761,21,female,capricorn
762,24,female,cancer
763,24,female,cancer
764,46,male,libra
765,44,male,aquarius
766,42,male,aries
767,42,female,gemini
768,39,male,libra
769,39,female,pisces
770,53,male,cancer
771,50,male,taurus
772,31,female,aquarius
773,33,nb,taurus
774,21,male,aquarius
775,21,female,leo
776,29,nb,scorpio
777,33,male,pisces
778,52,female,virgo
779,49,female,aquarius
780,57,male,libra
781,58,male,aries
782,49,male,capricorn
783,49,female,leo
784,27,male,virgo
785,26,female,leo
786,31,female,pisces
787,31,female,pisces
788,54,female,virgo
789,53,female,aquarius
790,54,male,cancer
791,57,female,libra
792,55,male,taurus
793,52,female,taurus
794,28,nb,aries
795,27,male,cancer
796,44,female,aries
797,44,nb,libra
798,24,male,taurus
799,25,male,aquarius
800,59,female,pisces
801,57,male,cancer
802,32,male,taurus
803,31,female,gemini
804,19,female,gemini
805,18,female,libra
806,25,nb,gemini
807,27,female,virgo
808,55,male,virgo
809,56,male,leo
810,44,nb,virgo
811,43,nb,gemini
812,35,male,leo
813,35,female,cancer
814,18,male,libra
815,20,female,capricorn
816,50,female,pisces
817,49,female,cancer
818,20,male,aries
819,23,male,aries
820,41,male,aries
821,41,female,aries
822,25,male,pisces
823,25,female,cancer
824,46,male,cancer
825,46,female,capricorn
826,59,female,aries
827,62,nb,gemini
828,42,male,capricorn
829,42,male,capricorn
830,49,male,aquarius
831,50,female,libra
832,53,male,sagittarius
833,54,female,pisces
834,31,female,virgo
835,31,female,aries
836,45,nb,capricorn
837,45,female,pisces
838,42,female,taurus
839,42,female,taurus
840,42,nb,gemini
841,40,male,leo
842,39,male,libra
843,37,female,virgo
844,35,male,aries
845,35,male,libra
846,38,male,libra
847,34,female,pisces
848,49,female,libra
849,49,female,scorpio
850,37,nb,scorpio
851,37,female,aquarius
852,49,male,pisces
853,49,male,sagittarius
854,43,female,sagittarius
855,47,male,taurus
856,18,nb,capricorn
857,18,male,pisces
858,23,female,taurus
859,20,nb,leo
860,23,male,leo
861,24,female,leo
862,46,female,aquarius
863,45,male,scorpio
864,25,nb,sagittarius
865,24,male,taurus
866,28,male,leo
867,28,nb,capricorn
868,23,female,aquarius
869,24,female,libra
870,25,nb,libra
871,24,female,aries
872,22,male,pisces
873,20,female,taurus
874,43,female,virgo
875,45,female,libra
876,45,male,aries
877,44,male,capricorn
878,29,female,capricorn
879,28,female,scorpio
880,39,female,cancer
881,38,male,virgo
882,55,male,aries
883,57,male,gemini
884,53,female,gemini
885,52,male,libra
886,57,male,virgo
887,55,male,cancer
888,20,female,aquarius
889,18,male,aries
890,50,female,capricorn
891,50,female,cancer
892,38,female,pisces
893,42,male,aquarius
894,39,male,virgo
895,39,female,pisces
896,48,male,virgo
897,48,male,libra
898,22,male,pisces
899,21,female,taurus
900,20,nb,sagittarius
901,20,female,scorpio
902,20,female,scorpio
903,22,female,taurus
904,29,male,scorpio
905,29,female,libra
906,26,male,cancer
907,25,male,sagittarius
908,23,male,leo
909,22,male,leo
910,46,female,virgo
911,46,male,pisces
912,54,male,capricorn
913,56,male,scorpio
914,41,female,pisces
915,40,male,pisces
916,23,nb,scorpio
917,22,nb,taurus
918,35,female,virgo
919,35,male,libra
920,35,nb,aries
921,35,male,pisces
922,59,male,pisces
923,58,nb,gemini
924,47,nb,scorpio
925,46,female,leo
926,47,female,sagittarius
927,46,female,scorpio
928,32,female,gemini
929,32,male,virgo
930,22,female,capricorn
931,19,female,scorpio
932,20,male,gemini
933,20,male,scorpio
934,30,male,virgo
935,30,female,taurus
936,41,female,taurus
937,40,male,gemini
938,28,male,pisces
939,25,female,gemini
940,28,male,capricorn
941,30,female,pisces
942,51,male,leo
943,54,female,aquarius
944,54,male,pisces
945,54,female,libra
946,58,male,leo
947,58,female,capricorn
948,31,nb,gemini
949,31,male,gemini
950,20,female,taurus
951,19,male,aries
952,34,female,libra
953,35,female,taurus
954,51,female,scorpio
955,49,male,capricorn
956,48,male,aquarius
957,49,female,libra
958,55,male,virgo
959,53,male,taurus
960,48,female,taurus
961,47,female,leo
962,42,female,sagittarius
963,44,female,aries
964,29,female,scorpio
965,31,male,gemini
966,36,male,virgo
967,37,nb,pisces
968,26,female,leo
969,26,male,leo
970,26,female,aquarius
971,25,male,libra
972,48,male,pisces
973,49,female,virgo
974,46,female,gemini
975,45,male,pisces
976,49,nb,aries
977,50,female,virgo
978,49,male,virgo
979,49,female,pisces
980,46,nb,taurus
981,46,male,gemini
982,24,male,pisces
983,24,male,aquarius
984,24,female,aries
985,23,female,cancer
986,41,female,pisces
987,40,male,sagittarius
988,47,male,taurus
989,47,female,aries
990,33,male,gemini
991,33,female,aries
992,52,female,scorpio
993,52,female,libra
994,24,male,aquarius
995,24,female,aries
996,31,male,sagittarius
997,30,male,scorpio
998,24,nb,capricorn
999,24,female,taurus
1000,18,female,cancer
1001,21,female,aries
1002,43,male,aquarius
1003,45,female,scorpio
1004,40,male,taurus
1005,40,male,pisces
1006,31,nb,capricorn
1007,31,male,capricorn
1008,47,male,cancer
1009,47,female,libra
1010,26,female,pisces
1011,27,male,aquarius
1012,26,male,pisces
1013,26,male,virgo
1014,49,male,sagittarius
1015,49,nb,virgo
1016,47,female,libra
1017,47,female,capricorn
1018,53,female,pisces
1019,53,female,libra
1020,48,male,cancer
1021,48,female,taurus
1022,50,female,taurus
1023,49,female,aries
1024,36,female,capricorn
1025,36,male,aries
1026,49,female,aries
1027,50,female,leo
1028,44,male,taurus
1029,42,male,aquarius
1030,35,male,leo
1031,35,female,virgo
1032,46,female,aries
1033,49,male,cancer
1034,56,male,cancer
1035,52,male,sagittarius
1036,46,nb,sagittarius
1037,47,male,aquarius
1038,53,male,leo
1039,53,male,gemini
1040,40,female,aquarius
1041,40,female,libra
1042,39,male,cancer
1043,40,male,aquarius
1044,21,male,leo
1045,21,nb,gemini
1046,22,female,sagittarius
1047,22,male,sagittarius
1048,18,male,libra
1049,19,female,taurus
1050,42,female,gemini
1051,44,male,aquarius
1052,54,male,cancer
1053,56,female,leo
1054,27,female,aquarius
1055,28,male,taurus
1056,30,male,aquarius
1057,33,male,capricorn
1058,40,male,cancer
1059,40,male,leo
1060,18,male,gemini
1061,18,female,aquarius
1062,32,nb,gemini
1063,33,male,aquarius
1064,18,female,cancer
1065,18,female,leo
1066,47,male,virgo
1067,48,female,pisces
1068,26,male,taurus
1069,26,male,taurus
1070,32,female,capricorn
1071,30,male,pisces
1072,19,male,pisces
1073,19,female,libra
1074,42,male,taurus
1075,43,male,virgo
1076,41,male,scorpio
1077,42,male,capricorn
1078,18,nb,sagittarius
1079,18,male,scorpio
1080,51,male,sagittarius
1081,51,female,aquarius
1082,42,male,virgo
1083,43,female,scorpio
1084,48,male,taurus
1085,48,female,scorpio
1086,19,male,sagittarius
1087,19,male,aries
1088,27,male,sagittarius
1089,26,male,capricorn
1090,24,female,leo
1091,27,female,aquarius
1092,18,male,aries
1093,18,male,virgo
1094,43,male,cancer
1095,42,female,libra
1096,36,male,aquarius
1097,36,male,pisces
1098,52,female,libra
1099,55,nb,virgo
1100,34,female,virgo
1101,36,female,capricorn
1102,47,male,cancer
1103,45,male,leo
1104,36,female,virgo
1105,35,male,scorpio
1106,41,male,taurus
1107,41,male,aquarius
1108,23,nb,pisces
1109,22,male,aquarius
1110,55,nb,gemini
1111,51,female,taurus
1112,46,female,virgo
1113,44,male,sagittarius
1114,47,male,cancer
1115,48,male,aries
1116,41,female,virgo
1117,41,male,gemini
1118,40,female,leo
1119,43,female,taurus
1120,42,female,libra
1121,45,nb,virgo
1122,43,male,cancer
1123,44,male,scorpio
1124,57,male,cancer
1125,56,male,cancer
1126,52,male,virgo
1127,55,female,libra
1128,44,female,aquarius
1129,44,female,virgo
1130,31,female,aquarius
1131,32,female,capricorn
1132,21,male,capricorn
1133,20,nb,sagittarius
1134,54,male,gemini
1135,55,male,leo
1136,30,male,gemini
1137,30,male,capricorn
1138,31,male,cancer
1139,31,male,gemini
1140,21,female,gemini
1141,18,male,virgo
1142,52,male,gemini
1143,55,female,sagittarius
1144,22,female,scorpio
1145,23,male,pisces
1146,24,male,aquarius
1147,24,female,scorpio
1148,26,female,aquarius
1149,27,female,aries
1150,48,male,gemini
1151,50,male,taurus
1152,51,nb,libra
1153,52,female,virgo
1154,18,female,scorpio
1155,18,male,aries
1156,51,female,scorpio
1157,53,male,aquarius
1158,25,male,pisces
1159,28,female,aries
1160,23,female,virgo
1161,21,male,sagittarius
1162,47,female,aries
1163,47,male,aries
1164,19,female,leo
1165,21,male,pisces
1166,37,female,aquarius
1167,37,nb,aries
1168,18,male,sagittarius
1169,18,female,cancer
1170,29,female,gemini
1171,33,male,taurus
1172,21,nb,aries
1173,24,male,taurus
1174,25,female,aquarius
1175,28,female,taurus
1176,32,female,aquarius
1177,33,nb,cancer
1178,29,male,cancer
1179,28,female,aries
1180,22,nb,aquarius
1181,22,male,gemini
1182,24,female,scorpio
1183,22,male,leo
1184,55,male,cancer
1185,55,male,cancer
1186,22,male,virgo
1187,22,female,libra
1188,25,male,scorpio
1189,22,female,cancer
1190,46,nb,cancer
1191,44,male,taurus
1192,21,male,gemini
1193,21,male,cancer
1194,18,nb,gemini
1195,20,male,gemini
1196,53,male,sagittarius
1197,50,female,aquarius
1198,58,female,leo
1199,58,female,taurus
1200,59,female,aries
1201,56,female,pisces
1202,32,male,taurus
1203,31,nb,leo
1204,37,male,pisces
1205,38,female,leo
1206,20,male,virgo
1207,22,male,scorpio
1208,19,male,capricorn
1209,18,female,taurus
1210,38,female,aquarius
1211,36,male,aries
1212,36,male,aries
1213,36,male,aries
1214,57,female,capricorn
1215,58,female,sagittarius
1216,54,male,libra
1217,52,male,cancer
1218,20,male,scorpio
1219,18,male,cancer
1220,48,male,cancer
1221,48,female,virgo
1222,29,male,libra
1223,29,female,scorpio
1224,57,female,taurus
1225,57,nb,aquarius
1226,27,male,libra
1227,27,female,aquarius
1228,51,female,aries
1229,53,male,aquarius
1230,22,female,leo
1231,23,male,aquarius
1232,21,female,aquarius
1233,23,female,capricorn
1234,25,male,capricorn
1235,27,female,aquarius
1236,23,female,virgo
1237,23,female,capricorn
1238,42,male,sagittarius
1239,42,male,gemini
1240,19,female,pisces
1241,19,female,aries
1242,40,male,libra
1243,40,male,virgo
1244,30,female,sagittarius
1245,29,male,aries
1246,45,female,virgo
1247,45,female,taurus
1248,47,male,scorpio
1249,46,female,gemini
1250,54,female,gemini
1251,56,nb,capricorn
1252,38,male,scorpio
1253,39,nb,sagittarius
1254,57,male,aquarius
1255,57,nb,sagittarius
1256,38,male,gemini
1257,37,male,capricorn
1258,45,female,leo
1259,43,nb,libra
1260,39,male,capricorn
1261,39,male,virgo
1262,34,male,virgo
1263,37,female,aries
1264,36,female,virgo
1265,34,female,leo
1266,44,male,pisces
1267,43,female,taurus
1268,58,male,cancer
1269,57,nb,libra
1270,40,female,libra
1271,40,female,taurus
1272,51,male,leo
1273,52,male,cancer
1274,36,female,capricorn
1275,36,male,pisces
1276,59,female,gemini
1277,56,female,pisces
1278,25,male,scorpio
1279,25,female,aquarius
1280,34,female,virgo
1281,35,male,sagittarius
1282,24,male,taurus
1283,20,nb,libra
1284,53,male,cancer
1285,55,female,capricorn
1286,50,female,virgo
1287,48,male,aquarius
1288,18,female,capricorn
1289,21,female,aries
1290,29,female,aries
1291,29,male,leo
1292,58,female,gemini
1293,59,male,aries
1294,37,female,gemini
1295,34,male,aquarius
1296,20,nb,cancer
1297,23,male,aries
1298,49,female,capricorn
1299,49,male,leo
1300,32,female,aquarius
1301,29,female,gemini
1302,29,male,scorpio
1303,32,male,taurus
1304,41,nb,taurus
1305,44,male,capricorn
1306,57,female,gemini
1307,56,female,sagittarius
1308,41,female,leo
1309,40,male,leo
1310,52,nb,sagittarius
1311,53,nb,leo
1312,21,female,libra
1313,21,male,leo
1314,30,female,cancer
1315,30,female,cancer
1316,39,female,virgo
1317,40,male,taurus
1318,25,male,libra
1319,25,nb,leo
1320,34,male,gemini
1321,34,female,cancer
1322,21,female,gemini
1323,19,male,aquarius
1324,34,male,virgo
1325,32,female,sagittarius
1326,45,female,leo
1327,43,male,libra
